0.0000,-10.4943,-2.1266,10.6695,34.7833,19.5027,-8.2405,-36.3352,-15.8878,14.6850,20.6678,-43.7488,-5.1400,10.3116,-0.1532,-4.6895,
-0.0000,-21.2034,2.3233,-5.8066,-15.7432,18.1834,-3.8392,-21.4634,-4.7396,6.6422,5.8550,-4.2475,1.5773,-3.9209,-8.9186,-2.5431,
-0.0000,-18.4746,1.4998,1.1897,-4.5171,9.0561,-1.6895,-22.8693,-8.2927,7.4620,9.2402,-1.0619,1.0293,-4.8819,-6.2827,-4.1384,
-0.0000,-10.4090,0.3003,4.7595,2.9136,-0.5469,-0.0900,-38.0731,-8.3074,7.7915,5.5283,-1.3415,0.6629,-4.9124,-3.0445,-3.5908,
-0.0000,-4.1910,-0.6777,4.8538,0.9590,-5.8797,1.4122,-45.0816,-7.3872,7.1465,1.7994,4.2397,0.5936,-1.4109,-1.0591,-3.0555,
-0.0000,1.9990,-1.9443,3.0721,-3.4436,-9.5972,2.4584,-49.8565,-6.3792,6.9502,-3.2890,10.7163,0.5371,3.8365,-0.0682,-2.8308,
-0.0000,2.5848,-2.5309,-3.6825,-16.3772,-3.1677,2.0478,-46.3182,-5.0445,6.8190,-6.8693,16.4642,0.5400,9.2271,-1.0766,-2.6408,
-0.0000,0.1167,-1.2404,-8.9519,-22.1091,5.4891,-0.7808,-50.2540,-0.6732,6.3613,-10.5839,6.3778,1.1877,8.5416,-3.9147,-0.6957,
-0.0000,-5.0051,1.4052,-9.3527,-16.0203,12.0947,-4.9963,-59.3609,4.1161,5.9486,-10.5850,-17.3405,1.8900,-0.9493,-7.5603,1.6286,
-0.0000,-12.7375,2.9205,-3.3398,-6.4280,13.1495,-5.2859,-51.0574,1.3469,5.8604,-0.3291,-22.1102,1.7847,-7.6439,-7.6695,0.5683,
-0.0000,-13.1853,2.5286,3.9004,2.9096,6.1768,-3.0839,-46.1168,-2.7964,6.1098,6.4464,-16.1463,1.2070,-8.6712,-5.1009,-1.2634,
